machine_id,temperature,pressure,vibration
1,54.4,119.1,0.25
2,57.8,119.4,0.19
3,56.3,118.7,0.24
4,55.5,121.2,0.3
5,57.6,120.6,0.22
6,50.9,121.2,0.3
7,55.2,119.5,0.27
8,49.2,118.4,0.27
9,58.5,118.8,0.27
10,56.0,123.9,0.21
11,57.3,112.4,0.15
12,52.6,185,0.29
13,49.1,113.3,0.19
14,52.1,123.4,0.26
15,54.6,122.0,0.25
16,56.8,118.8,0.31
17,52.5,123.6,0.26
18,95,126.7,0.23
19,51.7,115.4,0.25
20,59.5,118.6,0.34
21,53.9,116.7,0.22
22,61.1,128.7,0.28
23,56.4,115.2,0.33
24,58.6,112.7,0.22
25,56.1,125.7,1.4
26,51.2,119.6,0.28
27,52.1,118.5,0.18
28,50.7,117.2,0.27
29,59.8,119.9,0.26
30,55.7,125.4,0.29
31,56.1,114.9,0.29
32,56.5,126.1,0.25
33,62.8,118.2,0.31
34,55.5,117.4,0.2
35,54.4,127.1,0.28
36,57.8,108.1,0.28
37,85,117.3,0.22
38,55.0,122.9,0.23
39,51.5,114.7,0.29
40,60.6,111.6,0.23
41,54.9,120.0,0.25
42,55.7,129.3,0.21
43,56.7,116.3,0.33
44,57.9,180,0.24
45,59.5,107.4,0.23
46,54.6,113.5,0.17
47,57.5,125.3,0.17
48,48.6,127.6,0.22
49,52.7,112.7,0.2
50,58.5,112.5,0.31
51,52.1,121.1,0.26
52,55.3,113.7,1.4
53,60.1,123.0,0.26
54,63.6,121.2,0.24
55,55.4,127.4,0.25
56,57.1,126.0,0.23
57,48.1,121.5,0.26
58,52.6,124.4,0.27
59,51.0,122.6,0.24
60,49.1,122.3,0.25
61,52.0,122.6,0.27
62,52.7,122.0,0.29
63,90,121.9,0.25
64,64.1,123.5,0.18
65,59.7,124.2,0.24
66,54.8,127.0,0.29
67,55.3,125.1,0.17
68,55.9,122.5,0.24
69,59.0,120.1,0.31
70,51.9,118.3,0.31
71,54.1,175,0.23
72,51.1,116.2,0.35
73,50.6,117.0,0.25
74,53.6,114.9,0.23
75,56.4,117.7,0.27
76,54.6,122.6,0.3
77,53.7,116.7,0.31
78,60.8,120.2,0.3
79,51.9,116.4,0.21
80,52.6,123.1,0.24
81,54.4,116.4,0.2
82,58.6,118.7,0.28
83,55.0,118.1,0.11
84,58.7,121.9,0.25
85,55.7,123.8,0.33
86,51.6,123.5,0.22
87,59.2,127.9,0.23
88,85,127.3,0.25
89,52.5,114.5,0.27
90,54.2,122.8,0.23
91,60.1,114.7,0.27
92,57.7,121.1,0.29
93,52.0,111.0,0.22
94,54.9,121.4,0.24
95,50.0,113.0,0.28
96,56.0,129.5,0.33
97,57.3,124.6,0.24
98,50.1,129.2,0.31
99,54.2,117.4,1.8
100,55.9,121.6,0.27
